node_id,x,y
b1,54,60
b2,54,52
b3,54,44
b4,69,52
e1,21,56
e10,31,43
e11,31,40
e12,31,37
e13,31,30
e14,35,60
e15,35,53
e16,35,47
e17,33,43
e18,33,40
e19,35,43
e2,21,50
e20,35,40
e21,38,43
e22,38,40
e23,40,43
e24,40,40
e25,42,60
e26,42,47
e27,42,40
e28,42,37
e3,21,46
e4,21,43
e5,21,40
e6,21,37
e7,31,56
e8,31,53
e9,31,50
f1,69,34
f10,80,14
f11,80,11
f12,80,4
f13,91,34
f14,91,21
f15,91,14
f2,69,21
f3,69,16
f4,69,11
f5,75,31
f6,80,31
f7,80,27
f8,80,21
f9,80,16
k1,8,60
k2,8,56
k3,12,60
k4,12,56
k5,18,56
s1,16,60
s2,21,53
s3,21,30
s4,42,53
s5,42,30
s6,57,69
s7,54,54
s8,54,38
s9,62,34
s10,70,69
s11,69,60
s12,69,27
s13,69,4
s14,77,34
s15,95,34
s16,91,27
s17,91,4
