u,v,u_co-ord,v_co-ord,length
1k1,1k2,"(5,46)","(5,42)",4
1k2,1k1,"(5,42)","(5,46)",4
1k2,1s1,"(5,42)","(11,42)",6
1k3,1s1,"(11,38)","(11,42)",4
1.00E+01,1s1,"(13,38)","(11,42)",4.472135955
1.00E+01,1s2,"(13,38)","(13,37)",1
1.00E+01,1.00E+06,"(13,38)","(19,39)",6.08276253
1s2,1.00E+01,"(13,37)","(13,38)",1
1s2,1.00E+02,"(13,37)","(13,34)",3
1s2,1.00E+07,"(13,37)","(19,37)",6
1.00E+02,1s2,"(13,34)","(13,37)",3
1.00E+02,1.00E+03,"(13,34)","(13,30)",4
1.00E+02,1.00E+09,"(13,34)","(22,34)",9
1.00E+03,1.00E+02,"(13,30)","(13,34)",4
1.00E+03,1.00E+04,"(13,30)","(13,25)",5
1.00E+03,1.00E+10,"(13,30)","(22,30)",9
1.00E+04,1.00E+03,"(13,25)","(13,30)",5
1.00E+04,1.00E+11,"(13,25)","(22,25)",9
1.00E+04,1.00E+05,"(13,25)","(13,20)",5
1.00E+05,1.00E+04,"(13,20)","(13,25)",5
1.00E+05,1.00E+12,"(13,20)","(22,20)",9
1.00E+05,1s3,"(13,20)","(13,17)",3
1.00E+06,1.00E+01,"(19,39)","(13,38)",6.08276253
1.00E+06,1.00E+14,"(19,39)","(33,39)",14
1.00E+06,1.00E+07,"(19,39)","(19,37)",2
1.00E+07,1.00E+06,"(19,37)","(19,39)",2
1.00E+07,1s2,"(19,37)","(13,37)",6
1.00E+08,1s1,"(22,42)","(11,42)",11
1.00E+08,1g6,"(22,42)","(31,42)",9
1.00E+09,1s4,"(22,34)","(31,34)",9
1.00E+09,1.00E+02,"(22,34)","(13,34)",9
1.00E+10,1.00E+03,"(22,30)","(13,30)",9
1.00E+10,1.00E+15,"(22,30)","(31,30)",9
1.00E+10,1.00E+11,"(22,30)","(22,25)",5
1.00E+11,1.00E+04,"(22,25)","(13,25)",9
1.00E+11,1.00E+10,"(22,25)","(22,30)",5
1.00E+11,1.00E+16,"(22,25)","(31,25)",9
1.00E+11,1.00E+13,"(22,25)","(22,17)",8
1.00E+12,1.00E+05,"(22,20)","(13,20)",9
1.00E+12,1.00E+13,"(22,20)","(22,17)",3
1.00E+13,1s3,"(22,17)","(13,17)",9
1.00E+13,1.00E+11,"(22,17)","(22,25)",8
1.00E+13,1.00E+12,"(22,17)","(22,20)",3
1.00E+13,1s5,"(22,17)","(31,17)",9
1.00E+14,1g7,"(33,39)","(33,42)",3
1.00E+14,1g6,"(33,39)","(31,42)",3.605551275
1.00E+14,1.00E+06,"(33,39)","(19,39)",14
1.00E+14,1s4,"(33,39)","(31,34)",5.385164807
1.00E+15,1s4,"(31,30)","(31,34)",4
1.00E+15,1.00E+10,"(31,30)","(22,30)",9
1.00E+15,1.00E+16,"(31,30)","(31,25)",5
1.00E+16,1.00E+15,"(31,25)","(31,30)",5
1.00E+16,1.00E+11,"(31,25)","(22,25)",9
1.00E+16,1s5,"(31,25)","(31,17)",8
1g1,1g2,"(27,53)","(29,54)",2.236067977
1g1,1g3,"(27,53)","(29,51)",2.828427125
1g1,1g4,"(27,53)","(31,44)",9.848857802
1g2,1g1,"(29,54)","(27,53)",2.236067977
1g2,1g3,"(29,54)","(29,51)",3
1g3,1g1,"(29,51)","(27,53)",2.828427125
1g3,1g2,"(29,51)","(29,54)",3
1g3,1g5,"(29,51)","(32,45)",6.708203932
1g4,1g1,"(31,44)","(27,53)",9.848857802
1g4,1g5,"(31,44)","(32,45)",1.414213562
