u,v,u_co-ord,v_co-ord,length
1s1,2s1,"(11,42)","(16,60)",18.68154169
1s2,2s2,"(13,37)","(21,53)",17.88854382
1s3,2s3,"(13,17)","(21,30)",15.26433752
1s4,2s4,"(31,34)","(42,53)",21.9544984
1s5,2s5,"(31,17)","(42,30)",17.02938637
1s7,2s6,"(41,50)","(57,69)",24.8394847
1s8,2s7,"(41,35)","(54,54)",23.02172887
1s9,2s8,"(41,23)","(54,38)",19.84943324
1s10,2s10,"(53,50)","(70,69)",25.49509757
1s11,2s11,"(53,42)","(69,60)",24.08318916
1s12,2s9,"(47,21)","(62,34)",19.84943324
1s13,2s12,"(53,13)","(69,27)",21.26029163
1s14,2s14,"(59,21)","(77,34)",22.20360331
1s15,2s15,"(72,22)","(95,34)",25.94224354
1s16,2s16,"(71,13)","(91,27)",24.41311123
2s1,1s1,"(16,60)","(11,42)",18.68154169
2s2,1s2,"(21,53)","(13,37)",17.88854382
2s3,1s3,"(21,30)","(13,17)",15.26433752
2s4,1s4,"(42,53)","(31,34)",21.9544984
2s5,1s5,"(42,30)","(31,17)",17.02938637
2s6,1s7,"(57,69)","(41,50)",24.8394847
2s7,1s8,"(54,54)","(41,35)",23.02172887
2s8,1s9,"(54,38)","(41,23)",19.84943324
2s10,1s10,"(70,69)","(53,50)",25.49509757
2s11,1s11,"(69,60)","(53,42)",24.08318916
2s9,1s12,"(62,34)","(47,21)",19.84943324
2s12,1s13,"(69,27)","(53,13)",21.26029163
2s14,1s14,"(77,34)","(59,21)",22.20360331
2s15,1s15,"(95,34)","(72,22)",25.94224354
2s16,1s16,"(91,27)","(71,13)",24.41311123
