u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
81706482,81800506,0,9964152,Maple Street,residential,False,36.326,,,,"LINESTRING (-97.1373714 33.2082955, -97.1369833 33.2082597)"
81763210,9562937293,0,41440930,Eagle Drive,primary,False,9.963,4,US 77,,"LINESTRING (-97.1323188 33.2064929, -97.1324258 33.2064964)"
81763294,81763296,0,9960985,Fort Worth Drive,primary,False,37.514,4,US 377,,"LINESTRING (-97.13427 33.2065, -97.134408 33.206183)"
81763294,9562937255,0,28462426,Eagle Drive,primary,False,13.742,4,US 77;US 377,,"LINESTRING (-97.13427 33.2065, -97.1341223 33.206501)"
81763294,81818307,0,589767596,Eagle Drive,tertiary,False,72.561,,,,"LINESTRING (-97.13427 33.2065, -97.1350499 33.2065034)"
81763296,81763294,0,9960985,Fort Worth Drive,primary,False,37.514,4,US 377,,"LINESTRING (-97.134408 33.206183, -97.13427 33.2065)"
81769781,81946700,0,9977716,South Locust Street,primary,True,74.524,3,US 77;US 377,,"LINESTRING (-97.1325 33.20922, -97.13248 33.20989)"
81773648,8822904011,0,9961848,Ponder Street,residential,False,8.017,,,,"LINESTRING (-97.14478 33.21568, -97.14478 33.2157521)"
81773648,9033084822,0,974873273,West Oak Street,secondary,True,7.014,2,,,"LINESTRING (-97.14478 33.21568, -97.1448554 33.2156801)"
81782211,7832497592,0,9962521,East Walnut Street,residential,False,11.555,,,,"LINESTRING (-97.1324752 33.2139657, -97.132351 33.2139648)"
81782211,7832497595,0,608839550,West Walnut Street,residential,True,9.808,,,,"LINESTRING (-97.1324752 33.2139657, -97.1325806 33.2139678)"
81782211,7832497593,0,976725759,South Locust Street,primary,True,9.511,2,US 77;US 377,,"LINESTRING (-97.1324752 33.2139657, -97.1324722 33.2140512)"
81783344,9562937253,0,608839542,South Elm Street,primary,True,10.771,2,US 77;US 377,,"LINESTRING (-97.134176 33.206696, -97.1342191 33.2066061)"
81783346,7569615235,0,608839542,South Elm Street,primary,True,1.397,2,US 77;US 377,,"LINESTRING (-97.134063 33.206978, -97.1340678 33.2069661)"
