u,v,key,osmid,oneway,lanes,highway,length,ref,maxspeed,bridge,name,junction,geometry
81632385,81632387,0,9943469,True,1,motorway_link,50.174,,,,,,"LINESTRING (-97.1578024 33.2067775, -97.1581994 33.2070829)"
81632385,82004513,0,517786209,True,2,motorway,98.421,I 35E,70 mph,,,,"LINESTRING (-97.1578024 33.2067775, -97.1587235 33.2072128)"
81632387,81632389,0,558582959,True,1,motorway_link,43.824,,,,,,"LINESTRING (-97.1581994 33.2070829, -97.1585886 33.2073049)"
81632389,81632391,0,558582960,True,1,motorway_link,46.757,,,,,,"LINESTRING (-97.1585886 33.2073049, -97.1590072 33.2075376)"
81632391,81632395,0,558582960,True,1,motorway_link,29.482,,,,,,"LINESTRING (-97.1590072 33.2075376, -97.1592788 33.2076742)"
81632395,81754560,0,9959877,True,1,motorway_link,36.292,,,,,,"LINESTRING (-97.1592788 33.2076742, -97.1595833 33.2078782)"
81632395,5387388213,0,558582961,True,1,motorway_link,51.444,,,,,,"LINESTRING (-97.1592788 33.2076742, -97.159764 33.2078961)"
81632399,5387388214,0,558582962,True,1,motorway_link,22.561,,,,,,"LINESTRING (-97.160705 33.2083367, -97.1609093 33.208446)"
81632400,81632401,0,558582962,True,1,motorway_link,21.493,,,,,,"LINESTRING (-97.1610878 33.208562, -97.1612522 33.2086978)"
81632401,81632405,0,39424666,True,1,motorway_link,62.1,,,yes,,,"LINESTRING (-97.1612522 33.2086978, -97.1617179 33.2090979)"
81632405,81632409,0,39424647,True,,motorway_link,63.585,,,,,,"LINESTRING (-97.1617179 33.2090979, -97.1621876 33.2095133)"
81632409,81632411,0,39424647,True,,motorway_link,17.651,,,,,,"LINESTRING (-97.1621876 33.2095133, -97.1623206 33.2096265)"
81632411,81632412,0,39424647,True,,motorway_link,22.071,,,,,,"LINESTRING (-97.1623206 33.2096265, -97.1625042 33.2097522)"
81632412,81632413,0,39424647,True,,motorway_link,18.545,,,,,,"LINESTRING (-97.1625042 33.2097522, -97.1626707 33.2098439)"
81645476,81769755,0,9961512,False,,residential,54.835,,,,Cross Timber Street,,"LINESTRING (-97.1274515 33.206941, -97.1274588 33.2064479)"
81645476,2968034182,0,9961512,False,,residential,31.124,,,,Cross Timber Street,,"LINESTRING (-97.1274515 33.206941, -97.1274605 33.2072208)"
81645488,8597857379,0,9970488,False,,tertiary,12.986,,,,Robertson Street,,"LINESTRING (-97.12589 33.20697, -97.1258322 33.2068637)"
81645488,1549948280,0,9970488,False,,tertiary,54.838,,,,Robertson Street,,"LINESTRING (-97.12589 33.20697, -97.1261359 33.2074182)"
81646894,81646896,0,751191312,True,1,motorway_link,18.135,,,,,,"LINESTRING (-97.1626365 33.207563, -97.162468 33.207645)"
81646896,5744725968,0,751191312,True,1,motorway_link,9.348,,,,,,"LINESTRING (-97.162468 33.207645, -97.1623785 33.2076832)"
