osmid,y,x,street_count,highway,geometry
81706482,33.2082955,-97.1373714,1,,POINT (-97.1373714 33.2082955)
81763210,33.2064929,-97.1323188,4,,POINT (-97.1323188 33.2064929)
81763294,33.2065,-97.13427,4,traffic_signals,POINT (-97.13427 33.2065)
81763296,33.206183,-97.134408,2,,POINT (-97.134408 33.206183)
81769781,33.20922,-97.1325,3,,POINT (-97.1325 33.20922)
81773648,33.21568,-97.14478,3,,POINT (-97.14478 33.21568)
81782211,33.2139657,-97.1324752,4,,POINT (-97.1324752 33.2139657)
81783344,33.206696,-97.134176,2,,POINT (-97.134176 33.206696)
81783346,33.206978,-97.134063,2,,POINT (-97.134063 33.206978)
81783348,33.207089,-97.134013,2,,POINT (-97.134013 33.207089)
81783350,33.20732,-97.13393,2,,POINT (-97.13393 33.20732)
81783352,33.20744,-97.1339,2,,POINT (-97.1339 33.20744)
81783355,33.207541,-97.133871,2,,POINT (-97.133871 33.207541)
81783357,33.207777,-97.133837,2,,POINT (-97.133837 33.207777)
81783359,33.208027,-97.133814,2,,POINT (-97.133814 33.208027)
81783361,33.208239,-97.133814,4,,POINT (-97.133814 33.208239)
81783362,33.208697,-97.133786,2,,POINT (-97.133786 33.208697)
81783364,33.20919,-97.13378,3,,POINT (-97.13378 33.20919)
81783366,33.21071,-97.13374,4,,POINT (-97.13374 33.21071)
81783367,33.21156,-97.13373,3,,POINT (-97.13373 33.21156)
81783368,33.21184,-97.13372,2,,POINT (-97.13372 33.21184)
81783370,33.212519,-97.13371,4,traffic_signals,POINT (-97.13371 33.212519)
81783373,33.21312,-97.13371,2,,POINT (-97.13371 33.21312)
81783385,33.2135,-97.1337,4,,POINT (-97.1337 33.2135)
81783395,33.2139903,-97.1336986,4,,POINT (-97.1336986 33.2139903)
81783397,33.2145323,-97.1336929,4,traffic_signals,POINT (-97.1336929 33.2145323)
81783403,33.2065024,-97.1339039,3,,POINT (-97.1339039 33.2065024)
81794112,33.2155524,-97.1336647,4,traffic_signals,POINT (-97.1336647 33.2155524)
81797221,33.21573,-97.15398,3,,POINT (-97.15398 33.21573)
81797223,33.215719,-97.15363,3,,POINT (-97.15363 33.215719)
81797228,33.21571,-97.15186,3,,POINT (-97.15186 33.21571)
81797233,33.2157013,-97.150636,5,traffic_signals,POINT (-97.150636 33.2157013)
81797235,33.21569,-97.149916,2,,POINT (-97.149916 33.21569)
81797239,33.2156963,-97.1484182,3,,POINT (-97.1484182 33.2156963)
81797241,33.21569,-97.14779,3,,POINT (-97.14779 33.21569)
81797247,33.21568,-97.1435058,3,,POINT (-97.1435058 33.21568)
81797250,33.2156762,-97.1430929,2,,POINT (-97.1430929 33.2156762)
81797252,33.2156728,-97.14275,2,,POINT (-97.14275 33.2156728)
81797253,33.2156654,-97.1419799,2,,POINT (-97.1419799 33.2156654)
81797254,33.215658,-97.141211,2,,POINT (-97.141211 33.215658)
81797255,33.2156502,-97.140408,3,,POINT (-97.140408 33.2156502)
81797256,33.2156469,-97.1400625,2,,POINT (-97.1400625 33.2156469)
81797257,33.2156431,-97.139672,2,,POINT (-97.139672 33.2156431)
81797258,33.2156382,-97.139161,4,,POINT (-97.139161 33.2156382)
81797262,33.21562,-97.13728,4,traffic_signals,POINT (-97.13728 33.21562)
81797264,33.2156218,-97.1371555,4,traffic_signals,POINT (-97.1371555 33.2156218)
81797266,33.2156153,-97.1365244,3,,POINT (-97.1365244 33.2156153)
81797271,33.2156027,-97.1351807,3,,POINT (-97.1351807 33.2156027)
81797274,33.2155704,-97.1343068,4,,POINT (-97.1343068 33.2155704)
81797279,33.2155309,-97.1324579,4,traffic_signals,POINT (-97.1324579 33.2155309)
81798223,33.2160725,-97.1324396,4,,POINT (-97.1324396 33.2160725)
81800506,33.2082597,-97.1369833,4,,POINT (-97.1369833 33.2082597)
81800511,33.20826,-97.13567,3,,POINT (-97.13567 33.20826)
81800514,33.20824,-97.135251,2,,POINT (-97.135251 33.20824)
81800517,33.20824,-97.13501,3,,POINT (-97.13501 33.20824)
81800519,33.20824,-97.13473,3,,POINT (-97.13473 33.20824)
81800520,33.20826,-97.13251,3,,POINT (-97.13251 33.20826)
81800552,33.20818,-97.14152,3,,POINT (-97.14152 33.20818)
81800556,33.2082191,-97.1443856,4,,POINT (-97.1443856 33.2082191)
81800559,33.2082231,-97.1448377,2,,POINT (-97.1448377 33.2082231)
81800560,33.208227,-97.1452799,4,,POINT (-97.1452799 33.208227)
81800561,33.2082318,-97.145828,2,,POINT (-97.145828 33.2082318)
81800563,33.2082326,-97.14592,2,,POINT (-97.14592 33.2082326)
81800565,33.2082349,-97.146187,4,,POINT (-97.146187 33.2082349)
81800567,33.2082429,-97.1475164,2,,POINT (-97.1475164 33.2082429)
81800571,33.20825,-97.14854,3,,POINT (-97.14854 33.20825)
81800573,33.208269,-97.150665,4,,POINT (-97.150665 33.208269)
81800581,33.208302,-97.1529229,2,,POINT (-97.1529229 33.208302)
81804651,33.2145737,-97.137115,4,traffic_signals,POINT (-97.137115 33.2145737)
81804653,33.2135216,-97.1371354,4,traffic_signals,POINT (-97.1371354 33.2135216)
81804657,33.211596,-97.137151,4,,POINT (-97.137151 33.211596)
81804661,33.210399,-97.13716,2,,POINT (-97.13716 33.210399)
81804663,33.210259,-97.13717,2,,POINT (-97.13717 33.210259)
81804665,33.209829,-97.13717,2,,POINT (-97.13717 33.209829)
81804667,33.20947,-97.13714,2,,POINT (-97.13714 33.20947)
81804669,33.20915,-97.13709,4,,POINT (-97.13709 33.20915)
81804671,33.20894,-97.137041,2,,POINT (-97.137041 33.20894)
81804673,33.208638,-97.136959,2,,POINT (-97.136959 33.208638)
81804675,33.208129,-97.136779,2,,POINT (-97.136779 33.208129)
81804676,33.208,-97.136731,2,,POINT (-97.136731 33.208)
81804692,33.207577,-97.136638,2,,POINT (-97.136638 33.207577)
81804694,33.207382,-97.13661,2,,POINT (-97.13661 33.207382)
81804695,33.207189,-97.13659,2,,POINT (-97.13659 33.207189)
81804696,33.20712,-97.136579,2,,POINT (-97.136579 33.20712)
81804697,33.20651,-97.13655,4,traffic_signals,POINT (-97.13655 33.20651)
