osmid,y,x,ref,highway,street_count,geometry
81632385,33.2067775,-97.1578024,467,motorway_junction,3,POINT (-97.1578024 33.2067775)
81632387,33.2070829,-97.1581994,,,2,POINT (-97.1581994 33.2070829)
81632389,33.2073049,-97.1585886,,,2,POINT (-97.1585886 33.2073049)
81632391,33.2075376,-97.1590072,,,2,POINT (-97.1590072 33.2075376)
81632395,33.2076742,-97.1592788,,motorway_junction,3,POINT (-97.1592788 33.2076742)
81632399,33.2083367,-97.160705,,,2,POINT (-97.160705 33.2083367)
81632400,33.208562,-97.1610878,,,2,POINT (-97.1610878 33.208562)
81632401,33.2086978,-97.1612522,,,2,POINT (-97.1612522 33.2086978)
81632405,33.2090979,-97.1617179,,,2,POINT (-97.1617179 33.2090979)
81632409,33.2095133,-97.1621876,,,2,POINT (-97.1621876 33.2095133)
81632411,33.2096265,-97.1623206,,,2,POINT (-97.1623206 33.2096265)
81632412,33.2097522,-97.1625042,,,2,POINT (-97.1625042 33.2097522)
81632413,33.2098439,-97.1626707,,,2,POINT (-97.1626707 33.2098439)
81645476,33.206941,-97.1274515,,,2,POINT (-97.1274515 33.206941)
81645488,33.20697,-97.12589,,,2,POINT (-97.12589 33.20697)
81646894,33.207563,-97.1626365,,,2,POINT (-97.1626365 33.207563)
81646896,33.207645,-97.162468,,,2,POINT (-97.162468 33.207645)
81646897,33.207718,-97.162285,,,2,POINT (-97.162285 33.207718)
81646899,33.2077754,-97.1620825,,,2,POINT (-97.1620825 33.2077754)
81646901,33.2077992,-97.1619504,,,2,POINT (-97.1619504 33.2077992)
81646903,33.2078178,-97.161794,,,2,POINT (-97.161794 33.2078178)
81646905,33.2078403,-97.1615105,,traffic_signals,4,POINT (-97.1615105 33.2078403)
81646908,33.207886,-97.161288,,,2,POINT (-97.161288 33.207886)
81646910,33.207886,-97.161179,,,2,POINT (-97.161179 33.207886)
81646911,33.207872,-97.161078,,,2,POINT (-97.161078 33.207872)
81646913,33.207847,-97.160966,,,2,POINT (-97.160966 33.207847)
81646915,33.207777,-97.160784,,,2,POINT (-97.160784 33.207777)
81655066,33.2154555,-97.1626708,,,3,POINT (-97.1626708 33.2154555)
81655744,33.222281,-97.12801,,,3,POINT (-97.12801 33.222281)
81655749,33.2241152,-97.1279803,,,3,POINT (-97.1279803 33.2241152)
81655753,33.224311,-97.127758,,,3,POINT (-97.127758 33.224311)
81655755,33.2243001,-97.127303,,,3,POINT (-97.127303 33.2243001)
81706482,33.2082955,-97.1373714,,,1,POINT (-97.1373714 33.2082955)
81727904,33.2241276,-97.1279111,,,2,POINT (-97.1279111 33.2241276)
81727906,33.2241565,-97.1278493,,,2,POINT (-97.1278493 33.2241565)
81727908,33.2241994,-97.1278005,,,2,POINT (-97.1278005 33.2241994)
81727910,33.2243773,-97.1277709,,,2,POINT (-97.1277709 33.2243773)
81727911,33.2244362,-97.1278097,,,2,POINT (-97.1278097 33.2244362)
81727913,33.2244809,-97.1278699,,,2,POINT (-97.1278699 33.2244809)
81727915,33.2245061,-97.1279444,,,2,POINT (-97.1279444 33.2245061)
81727917,33.2245089,-97.1280247,,,2,POINT (-97.1280247 33.2245089)
