osmid,grid_index,y,x
286433005,31,41.6566121,12.4170498
855665760,537,41.6819031,12.4514672
321823208,639,41.6860468,12.4629493
321823650,736,41.6912656,12.4429557
321823816,738,41.6911467,12.4570254
683798758,743,41.6902783,12.4841172
367165383,762,41.6917503,12.5958366
367162595,763,41.6913837,12.5964979
2436665965,850,41.6951456,12.5233457
129994607,862,41.6949061,12.5915593
1864641538,863,41.6954773,12.5985238
1828425877,941,41.6982123,12.4707411
423375676,950,41.6994597,12.5250127
423360755,951,41.6973431,12.529927
1713056906,952,41.6984842,12.536668
8217900793,961,41.6990136,12.5868227
1864698521,962,41.6991557,12.5937706
908323911,963,41.6986464,12.5979744
908180196,964,41.6981068,12.6050519
390856057,1018,41.7037575,12.3416855
800089804,1019,41.7029046,12.3471183
1828375119,1039,41.7048031,12.4635227
1828456816,1040,41.7038807,12.4672899
2520710993,1042,41.7013704,12.4770539
423361111,1048,41.7046408,12.5120704
423361346,1049,41.7045046,12.5213136
2175886784,1050,41.7024842,12.5251117
423782823,1053,41.7024128,12.5411253
1864721719,1060,41.7023166,12.5843443
908324278,1061,41.7026122,12.5889387
1864679525,1062,41.7035408,12.5933686
1864698528,1063,41.7013624,12.5964169
908180309,1064,41.703066,12.6055879
908180336,1065,41.7049866,12.6077675
390856080,1116,41.7089624,12.3302754
7019186290,1117,41.7076523,12.3369014
321828220,1118,41.7069772,12.3409715
129967008,1133,41.7068004,12.4268931
129966997,1135,41.706969,12.4398418
368349295,1136,41.7092355,12.442508
4548842701,1138,41.7091086,12.4566541
4548842710,1139,41.7085689,12.4597406
321820983,1140,41.7083627,12.4667878
423361153,1147,41.7095171,12.5084388
423361246,1148,41.7080673,12.5136146
908385492,1149,41.7095207,12.5169063
6420535570,1150,41.7060386,12.5255282
423782443,1153,41.7056336,12.5426812
1713057161,1154,41.7064866,12.5457875
2406909764,1159,41.7088238,12.5778369
2192443782,1160,41.7082703,12.580626
322288972,1161,41.7081056,12.5865437
908324241,1163,41.7062646,12.5968787
908168917,1165,41.707097,12.6110132
347300913,1214,41.7130302,12.3203206
390857047,1215,41.7121111,12.3230287
7019186297,1216,41.7103913,12.3298401
321828221,1219,41.7100171,12.3461075
4831460517,1222,41.7137294,12.3623851
2951436923,1232,41.71053,12.4239037
2951436925,1233,41.7106101,12.4244396
2951437237,1234,41.7128623,12.4310405
9452748011,1235,41.7116987,12.4404062
2763803104,1236,41.7114636,12.4450306
321825735,1238,41.7120356,12.4547001
2226915862,1240,41.7118847,12.4664134
321815191,1244,41.7111147,12.491223
6418958711,1246,41.7124003,12.4995024
6420534985,1248,41.7112569,12.5140199
156883331,1249,41.7108319,12.5200934
908385454,1250,41.709809,12.5227456
908374587,1253,41.7135252,12.5394047
908375015,1254,41.7125979,12.5485844
322331086,1255,41.7110771,12.551246
908375040,1256,41.7115729,12.5615914
908375349,1257,41.7114357,12.5666324
322331092,1258,41.7121076,12.5689597
2192443802,1259,41.710581,12.5768137
322288211,1260,41.7118805,12.5810226
7843023531,1262,41.7138595,12.5932401
322315952,1263,41.7103002,12.6001861
322316197,1264,41.7112799,12.6036347
347313916,1312,41.7178532,12.3065722
5687916368,1313,41.7168923,12.3132545
347277037,1314,41.7151079,12.3178006
694137236,1320,41.7154238,12.3539833
899479952,1336,41.7157033,12.4447482
1710788259,1337,41.7161399,12.4504226
321815542,1342,41.7180448,12.481166
321815082,1344,41.7159292,12.4920115
6408804439,1346,41.7171548,12.5015901
423372838,1352,41.7166678,12.5342451
908385495,1353,41.7167307,12.541419
908374804,1354,41.7164603,12.5456109
908375164,1357,41.7141579,12.5640488
262369211,1359,41.7154352,12.5749621
939087550,1360,41.7160613,12.5816163
262368718,1361,41.7176469,12.5868389
2070308178,1362,41.716823,12.5934234
322312038,1363,41.7154704,12.5976377
255019799,1410,41.7221571,12.296175
390830054,1411,41.7211743,12.301048
389853576,1412,41.7212,12.3068846
389908703,1415,41.7215145,12.3266372
347302256,1416,41.7226233,12.3280619
1445283176,1420,41.7215323,12.3537799
1445283141,1421,41.7211939,12.3583864
960367814,1422,41.7227161,12.3666726
2952501604,1436,41.7194333,12.4442723
2763830313,1437,41.7198163,12.449328
1731915886,1438,41.7199943,12.4550762
321815422,1442,41.719688,12.4805881
6387280082,1443,41.7200003,12.4854976
