osmid,grid_index,y,x
324764995,3030,41.7913493,12.4096968
356964111,3031,41.7902591,12.4151549
306729437,3032,41.7918575,12.4212383
2006276808,3033,41.7910578,12.4270806
322343974,3034,41.7907884,12.4335449
1416955385,3035,41.7907212,12.4383329
1839046208,3036,41.7917997,12.4457581
283310220,3037,41.7922531,12.4507192
2451167970,3038,41.7916026,12.4566391
1418405986,3039,41.7899923,12.4626768
280185289,3040,41.7909998,12.4681532
281896636,3041,41.7917356,12.4730724
2130170671,3042,41.7906583,12.4760905
1342065027,3043,41.7916501,12.4853767
2069963702,3044,41.7908602,12.4903507
1342065106,3045,41.7902506,12.4934159
281871631,3047,41.7913312,12.5088237
1770019343,3048,41.7901344,12.5127636
317854819,3049,41.7912873,12.5188263
317856015,3050,41.79129,12.5247137
3661027926,3051,41.791612,12.5299717
317850064,3052,41.790819,12.5360523
1357610273,3053,41.791263,12.5430295
6224930273,3054,41.7924426,12.5472558
262292946,3061,41.7903448,12.5898326
245938755,3062,41.7903761,12.5944436
1684572961,3130,41.7947141,12.4087317
11497294380,3132,41.7950524,12.4213015
356961650,3133,41.7966904,12.4278724
901747923,3134,41.795823,12.4324001
321845536,3135,41.7968715,12.4382364
6378816670,3136,41.7962774,12.4441242
305103598,3137,41.7962906,12.4514444
282408922,3138,41.7947198,12.4550343
279549103,3139,41.794305,12.4622322
280930284,3140,41.795088,12.4682465
2013975072,3141,41.7977387,12.4745068
1695328114,3142,41.7949905,12.4806573
1342065149,3143,41.795389,12.4847352
1342064950,3144,41.7953652,12.4888263
298923336,3145,41.7960291,12.4964982
252019158,3147,41.7943722,12.5077624
314381779,3148,41.7957373,12.5149045
314383232,3149,41.7947714,12.5208195
317851960,3150,41.794836,12.5259334
9269751896,3151,41.7957155,12.5286832
317849126,3152,41.7953856,12.5347683
1357610524,3154,41.7972121,12.5483111
262292948,3160,41.7949929,12.5845847
262292968,3161,41.7965972,12.5872946
570622987,3162,41.7946482,12.5914435
1676898017,3231,41.7994242,12.4166334
741561944,3232,41.7995305,12.4225074
902586627,3233,41.8000722,12.4281878
1554560746,3234,41.799883,12.4326958
901749237,3235,41.7997081,12.4379048
305102781,3236,41.7997561,12.4438968
2006588619,3237,41.8001333,12.4503087
38265808,3238,41.8008339,12.4544454
5336920281,3240,41.8016808,12.4676335
920270263,3241,41.8011635,12.4725115
1499853356,3242,41.8009877,12.4787818
4027363782,3243,41.8000839,12.4833606
920091809,3244,41.7999224,12.4907355
423795423,3245,41.8009763,12.4956162
920092201,3246,41.7995822,12.5005221
920190286,3247,41.8018148,12.50802
423796321,3248,41.8017184,12.5120825
303194401,3249,41.800917,12.5175881
303194606,3250,41.7999895,12.5236917
1357610742,3251,41.7985507,12.5299904
2203977700,3252,41.7995815,12.5376137
1357610936,3253,41.8004094,12.5420666
1357610922,3254,41.800227,12.5470198
1357610739,3255,41.7984579,12.5544795
310543538,3260,41.7997356,12.5845746
310550092,3261,41.7982499,12.5900518
305094240,3331,41.8042684,12.4182319
2064976037,3332,41.8048713,12.4222044
11509016079,3333,41.8044905,12.4270431
305100006,3334,41.8049866,12.4329979
2093870814,3335,41.8047531,12.4396968
2216431513,3336,41.8045973,12.4451673
2209136340,3337,41.8041754,12.4499243
314388061,3338,41.8052442,12.4554269
157436051,3340,41.8047169,12.4675431
309030726,3341,41.8065924,12.4723821
2366981079,3342,41.8050034,12.4775943
7141201012,3343,41.8049333,12.4842595
961868088,3345,41.8051062,12.4983335
1339496383,3346,41.804092,12.5026094
286413965,3347,41.8040854,12.5067487
920199802,3348,41.8037289,12.5128737
260981090,3349,41.8044475,12.5166863
1357611226,3351,41.8064297,12.5282545
248686261,3352,41.8025835,12.5361352
303196751,3353,41.8064073,12.5429402
2014595859,3355,41.8051323,12.551181
264485586,3359,41.8035619,12.5750285
2432301714,3360,41.8038916,12.5808017
315017562,3366,41.8047138,12.6173493
315017658,3367,41.8064012,12.6218127
288667600,3430,41.8089873,12.4104601
256926060,3431,41.8075811,12.4186438
192180672,3432,41.8091248,12.4221778
356969291,3433,41.8092583,12.4285823
305092914,3434,41.8085419,12.4322181
305098327,3435,41.8083286,12.4381645
314418194,3436,41.8085554,12.4446318
305100965,3437,41.8087811,12.4503088
400702217,3438,41.8085751,12.4574002
309031122,3439,41.8102902,12.4634042
309030999,3440,41.8086142,12.4649075
1127796958,3441,41.8085891,12.4730128
2043190351,3442,41.8087944,12.4798543
298920851,3443,41.8088226,12.4845318
