u_index,u,v_index,v,length
537,855665760,639,321823208,1.058998238
537,855665760,736,321823650,1.25831895
537,855665760,738,321823816,1.126715549
639,321823208,736,321823650,1.758705974
639,321823208,738,321823816,0.750701109
639,321823208,743,683798758,1.819619489
639,321823208,941,1828425877,1.499494769
639,321823208,1039,1828375119,2.086148714
639,321823208,1040,1828456816,2.015522052
736,321823650,738,321823816,1.168334478
736,321823650,1039,1828375119,2.276343351
736,321823650,1135,129966997,1.765172944
736,321823650,1136,368349295,1.998507383
736,321823650,1138,4548842701,2.286884928
738,321823816,941,1828425877,1.383522658
738,321823816,1039,1828375119,1.611491211
738,321823816,1040,1828456816,1.65263556
738,321823816,1136,368349295,2.344850864
738,321823816,1138,4548842701,1.997510026
738,321823816,1139,4548842710,1.950331445
738,321823816,1140,321820983,2.078840521
743,683798758,941,1828425877,1.418371872
743,683798758,1040,1828456816,2.059032583
743,683798758,1042,2520710993,1.365709635
762,367165383,763,367162595,0.068387173
762,367165383,862,129994607,0.49926698
762,367165383,863,1864641538,0.470669008
762,367165383,961,8217900793,1.101091292
762,367165383,962,1864698521,0.841120056
762,367165383,963,908323911,0.787086613
762,367165383,964,908180196,1.041640506
762,367165383,1060,1864721719,1.513558662
762,367165383,1061,908324278,1.33669124
762,367165383,1062,1864679525,1.326959897
762,367165383,1063,1864698528,1.069902151
762,367165383,1064,908180309,1.496213695
762,367165383,1065,908180336,1.774098568
762,367165383,1160,2192443782,2.229139635
762,367165383,1161,322288972,1.975511144
762,367165383,1163,908324241,1.616233917
763,367162595,862,129994607,0.567058485
763,367162595,863,1864641538,0.485274208
763,367162595,961,8217900793,1.168380489
763,367162595,962,1864698521,0.893381433
763,367162595,963,908323911,0.816827292
763,367162595,964,908180196,1.031162697
763,367162595,1060,1864721719,1.579907539
763,367162595,1061,908324278,1.397418895
763,367162595,1062,1864679525,1.376548877
763,367162595,1063,1864698528,1.109601195
763,367162595,1064,908180309,1.502336369
763,367162595,1065,908180336,1.778575131
763,367162595,1161,322288972,2.034775291
763,367162595,1163,908324241,1.65498259
763,367162595,1165,908168917,2.122529748
850,2436665965,950,423375676,0.499273047
850,2436665965,951,423360755,0.598573218
850,2436665965,952,1713056906,1.166739617
850,2436665965,1048,423361111,1.411042897
850,2436665965,1049,423361346,1.054259977
850,2436665965,1050,2175886784,0.829082694
850,2436665965,1053,423782823,1.682841097
850,2436665965,1147,423361153,2.021208382
850,2436665965,1148,423361246,1.64837541
850,2436665965,1149,908385492,1.685466212
850,2436665965,1150,6420535570,1.22472413
850,2436665965,1153,423782443,1.984172712
850,2436665965,1248,6420534985,1.951629371
850,2436665965,1249,156883331,1.765010834
850,2436665965,1250,908385454,1.631256632
862,129994607,863,1864641538,0.581730303
862,129994607,961,8217900793,0.602710946
862,129994607,962,1864698521,0.506947516
862,129994607,963,908323911,0.675768188
862,129994607,964,908180196,1.175424539
862,129994607,1060,1864721719,1.018732897
862,129994607,1061,908324278,0.884070053
862,129994607,1062,1864679525,0.971814388
862,129994607,1063,1864698528,0.823433954
862,129994607,1064,908180309,1.476416341
862,129994607,1065,908180336,1.751335703
862,129994607,1159,2406909764,1.921678659
862,129994607,1160,2192443782,1.741316447
862,129994607,1161,322288972,1.525641231
862,129994607,1163,908324241,1.337991391
862,129994607,1165,908168917,2.108567218
862,129994607,1260,322288211,2.080311242
862,129994607,1262,7843023531,2.112136012
862,129994607,1263,322315952,1.855532174
862,129994607,1264,322316197,2.078426063
863,1864641538,961,8217900793,1.048056745
863,1864641538,962,1864698521,0.568362892
863,1864641538,963,908323911,0.35532785
863,1864641538,964,908180196,0.615840944
863,1864641538,1060,1864721719,1.401512732
863,1864641538,1061,908324278,1.123703087
863,1864641538,1062,1864679525,0.993535174
863,1864641538,1063,1864698528,0.677369175
863,1864641538,1064,908180309,1.027621141
863,1864641538,1065,908180336,1.306528069
863,1864641538,1160,2192443782,2.057031135
863,1864641538,1161,322288972,1.720753437
863,1864641538,1163,908324241,1.207243619
863,1864641538,1165,908168917,1.656657923
863,1864641538,1262,7843023531,2.090541917
863,1864641538,1263,322315952,1.653998449
863,1864641538,1264,322316197,1.807669899
941,1828425877,1039,1828375119,0.946688484
941,1828425877,1040,1828456816,0.69236527
941,1828425877,1042,2520710993,0.630874854
941,1828425877,1138,4548842701,1.683943591
941,1828425877,1139,4548842710,1.469759209
941,1828425877,1140,321820983,1.175421221
941,1828425877,1238,321825735,2.033697306
941,1828425877,1240,2226915862,1.562174767
941,1828425877,1244,321815191,2.224734162
941,1828425877,1342,321815542,2.368993778
950,423375676,951,423360755,0.471022064
950,423375676,952,1713056906,0.973726726
950,423375676,1048,423361111,1.219173008
950,423375676,1049,423361346,0.639526272
950,423375676,1050,2175886784,0.336409474
950,423375676,1053,423782823,1.377400775
950,423375676,1147,423361153,1.773073727
950,423375676,1148,423361246,1.345903174
950,423375676,1149,908385492,1.305543698
950,423375676,1150,6420535570,0.732791055
950,423375676,1153,423782443,1.619524643
950,423375676,1154,1713057161,1.893431922
950,423375676,1248,6420534985,1.597991897
950,423375676,1249,156883331,1.328838652
950,423375676,1250,908385454,1.166078258
950,423375676,1253,908374587,1.968129003
950,423375676,1352,423372838,2.061230806
