u_index,u,v_index,v,length
3030,324764995,3031,356964111,0.46846058
3030,324764995,3130,1684572961,0.382607713
3031,356964111,3032,306729437,0.534743642
3031,356964111,3130,1684572961,0.727291455
3031,356964111,3132,11497294380,0.737387291
3032,306729437,3033,2006276808,0.492446248
3032,306729437,3132,11497294380,0.355295305
3032,306729437,3133,356961650,0.768934264
3033,2006276808,3034,322343974,0.536758632
3033,2006276808,3132,11497294380,0.653323613
3033,2006276808,3133,356961650,0.629746904
3033,2006276808,3134,901747923,0.689372793
3034,322343974,3035,1416955385,0.397019977
3034,322343974,3133,356961650,0.807363293
3034,322343974,3134,901747923,0.567809646
3034,322343974,3135,321845536,0.780254668
3035,1416955385,3036,1839046208,0.627154749
3035,1416955385,3134,901747923,0.750819208
3035,1416955385,3135,321845536,0.683928947
3035,1416955385,3136,6378816670,0.782436316
3036,1839046208,3037,283310220,0.414370804
3036,1839046208,3135,321845536,0.840753734
3036,1839046208,3136,6378816670,0.515993324
3036,1839046208,3137,305103598,0.686718881
3037,283310220,3038,2451167970,0.496082568
3037,283310220,3136,6378816670,0.706507445
3037,283310220,3137,305103598,0.452956974
3037,283310220,3138,282408922,0.450779037
3038,2451167970,3039,1418405986,0.531617925
3038,2451167970,3137,305103598,0.676158609
3038,2451167970,3138,282408922,0.371272358
3038,2451167970,3139,279549103,0.55253587
3039,1418405986,3040,280185289,0.467640551
3039,1418405986,3138,282408922,0.823264821
3039,1418405986,3139,279549103,0.48096478
3039,1418405986,3140,280930284,0.730931553
3040,280185289,3041,281896636,0.415949011
3040,280185289,3139,279549103,0.613206375
3040,280185289,3140,280930284,0.454652898
3040,280185289,3141,2013975072,0.915929923
3041,281896636,3042,2130170671,0.277410976
3041,281896636,3140,280930284,0.546824946
3041,281896636,3141,2013975072,0.678023071
3041,281896636,3142,1695328114,0.725522772
3042,2130170671,3043,1342065027,0.777727487
3042,2130170671,3141,2013975072,0.79817634
3042,2130170671,3142,1695328114,0.612690733
3042,2130170671,3143,1342065149,0.888996778
3043,1342065027,3044,2069963702,0.421617099
3043,1342065027,3142,1695328114,0.539479692
3043,1342065027,3143,1342065149,0.419134325
3043,1342065027,3144,1342064950,0.50242888
3044,2069963702,3045,1342065106,0.263006612
3044,2069963702,3143,1342065149,0.685796291
3044,2069963702,3144,1342064950,0.516628379
3044,2069963702,3145,298923336,0.768163056
3045,1342065106,3144,1342064950,0.684259911
3045,1342065106,3145,298923336,0.691485736
3047,281871631,3048,1770019343,0.352706853
3047,281871631,3147,252019158,0.34940299
3047,281871631,3148,314381779,0.702966314
3048,1770019343,3049,317854819,0.518719988
3048,1770019343,3147,252019158,0.627659073
3048,1770019343,3148,314381779,0.647802143
3048,1770019343,3149,314383232,0.84373473
3049,317854819,3050,317856015,0.488091555
3049,317854819,3148,314381779,0.592072139
3049,317854819,3149,314383232,0.421181969
3049,317854819,3150,317851960,0.709123636
3050,317856015,3051,3661027926,0.437378312
3050,317856015,3149,314383232,0.504064859
3050,317856015,3150,317851960,0.407056112
3050,317856015,3151,9269751896,0.591986325
3051,3661027926,3052,317850064,0.511762974
3051,3661027926,3150,317851960,0.490506222
3051,3661027926,3151,9269751896,0.468624854
3051,3661027926,3152,317849126,0.578092153
3052,317850064,3053,1357610273,0.580546015
3052,317850064,3151,9269751896,0.818325576
3052,317850064,3152,317849126,0.518819939
3053,1357610273,3054,6224930273,0.374122488
3053,1357610273,3152,317849126,0.824127553
3053,1357610273,3154,1357610524,0.793287999
3054,6224930273,3154,1357610524,0.537511357
3061,262292946,3062,245938755,0.382293644
3061,262292946,3160,262292948,0.675581385
3061,262292946,3161,262292968,0.726375849
3061,262292946,3162,570622987,0.4968027
3062,245938755,3161,262292968,0.910919586
3062,245938755,3162,570622987,0.536208074
3130,1684572961,3231,1676898017,0.838667288
3132,11497294380,3133,356961650,0.574361687
3132,11497294380,3231,1676898017,0.621337673
3132,11497294380,3232,741561944,0.507877202
3132,11497294380,3233,902586627,0.798391591
3133,356961650,3134,901747923,0.387531591
3133,356961650,3232,741561944,0.545455506
3133,356961650,3233,902586627,0.376946815
3133,356961650,3234,1554560746,0.534692141
3134,901747923,3135,321845536,0.497666042
3134,901747923,3233,902586627,0.587515426
3134,901747923,3234,1554560746,0.452116382
3134,901747923,3235,901749237,0.628373222
3135,321845536,3136,6378816670,0.492534666
3135,321845536,3234,1554560746,0.568401567
3135,321845536,3235,901749237,0.316611042
3135,321845536,3236,305102781,0.56837532
3136,6378816670,3137,305103598,0.606831391
3136,6378816670,3235,901749237,0.641348766
3136,6378816670,3236,305102781,0.387272837
3136,6378816670,3237,2006588619,0.668326
3137,305103598,3138,282408922,0.345069582
3137,305103598,3236,305102781,0.734810541
3137,305103598,3237,2006588619,0.437537238
3137,305103598,3238,38265808,0.563120187
3138,282408922,3139,279549103,0.598487642
3138,282408922,3237,2006588619,0.718195709
3138,282408922,3238,38265808,0.681607329
3139,279549103,3140,280930284,0.506130367
3139,279549103,3238,38265808,0.97144941
3139,279549103,3240,5336920281,0.934411014
3140,280930284,3141,2013975072,0.596824056
3140,280930284,3240,5336920281,0.734844948
3140,280930284,3241,920270263,0.762486132
3141,2013975072,3142,1695328114,0.594426833
3141,2013975072,3240,5336920281,0.718860696
3141,2013975072,3241,920270263,0.415187551
3141,2013975072,3242,1499853356,0.506060285
3142,1695328114,3143,1342065149,0.340947059
3142,1695328114,3241,920270263,0.962869601
3142,1695328114,3242,1499853356,0.684741632
3142,1695328114,3243,4027363782,0.609082827
3143,1342065149,3144,1342064950,0.339158951
3143,1342065149,3242,1499853356,0.794428698
3143,1342065149,3243,4027363782,0.534340327
3143,1342065149,3244,920091809,0.708178314
3144,1342064950,3145,298923336,0.64026076
3144,1342064950,3243,4027363782,0.6932471
3144,1342064950,3244,920091809,0.53087744
3144,1342064950,3245,423795423,0.840289316
3145,298923336,3244,920091809,0.644682986
3145,298923336,3245,423795423,0.554940974
3145,298923336,3246,920092201,0.517067901
3147,252019158,3148,314381779,0.611224886
3147,252019158,3246,920092201,0.834180823
3147,252019158,3247,920190286,0.827854811
3147,252019158,3248,423796321,0.89191298
3148,314381779,3149,314383232,0.501973969
3148,314381779,3247,920190286,0.884519068
3148,314381779,3248,423796321,0.705009391
3148,314381779,3249,303194401,0.617424676
3149,314383232,3150,317851960,0.424002498
3149,314383232,3248,423796321,1.058895788
3149,314383232,3249,303194401,0.733985397
3149,314383232,3250,303194606,0.627177753
3150,317851960,3151,9269751896,0.248048703
3150,317851960,3249,303194401,0.967362087
3150,317851960,3250,303194606,0.602420772
3150,317851960,3251,1357610742,0.532656336
3151,9269751896,3152,317849126,0.505780157
3151,9269751896,3250,303194606,0.630134579
3151,9269751896,3251,1357610742,0.333363566
3151,9269751896,3252,2203977700,0.856064898
3152,317849126,3251,1357610742,0.529847586
3152,317849126,3252,2203977700,0.522797393
3152,317849126,3253,1357610936,0.823456856
3154,1357610524,3253,1357610936,0.627968061
3154,1357610524,3254,1357610922,0.351916074
3154,1357610524,3255,1357610739,0.529767398
3160,262292948,3161,262292968,0.28686098
3160,262292948,3260,310543538,0.527364843
3160,262292948,3261,310550092,0.580137611
3161,262292968,3162,570622987,0.406523109
3161,262292968,3260,310543538,0.415478407
3161,262292968,3261,310550092,0.293279329
3162,570622987,3261,310550092,0.416776693
3231,1676898017,3232,741561944,0.487061774
3231,1676898017,3331,305094240,0.554707856
3231,1676898017,3332,2064976037,0.761644988
3232,741561944,3233,902586627,0.474704713
3232,741561944,3331,305094240,0.634940214
3232,741561944,3332,2064976037,0.594400721
3232,741561944,3333,11509016079,0.667482419
3233,902586627,3234,1554560746,0.374274193
3233,902586627,3332,2064976037,0.728523817
3233,902586627,3333,11509016079,0.500371278
3233,902586627,3334,305100006,0.676448879
3234,1554560746,3235,901749237,0.43222954
3234,1554560746,3333,11509016079,0.694280654
3234,1554560746,3334,305100006,0.568046636
3234,1554560746,3335,2093870814,0.793737652
3235,901749237,3236,305102781,0.496726502
3235,901749237,3334,305100006,0.714096309
3235,901749237,3335,2093870814,0.580310874
3235,901749237,3336,2216431513,0.811143278
3236,305102781,3237,2006588619,0.533155395
3236,305102781,3335,2093870814,0.655696364
3236,305102781,3336,2216431513,0.54852139
3236,305102781,3337,2209136340,0.70078592
3237,2006588619,3238,38265808,0.351639508
3237,2006588619,3336,2216431513,0.654224052
3237,2006588619,3337,2209136340,0.450589011
3237,2006588619,3338,314388061,0.709194244
3238,38265808,3337,2209136340,0.527726701
3238,38265808,3338,314388061,0.49710547
3240,5336920281,3241,920270263,0.408414735
3240,5336920281,3340,157436051,0.337682064
3240,5336920281,3341,309030726,0.673198416
3241,920270263,3242,1499853356,0.520123661
3241,920270263,3340,157436051,0.57072032
3241,920270263,3341,309030726,0.603761415
3241,920270263,3342,2366981079,0.599842473
3242,1499853356,3243,4027363782,0.392627699
3242,1499853356,3341,309030726,0.818403116
3242,1499853356,3342,2366981079,0.457245729
3242,1499853356,3343,7141201012,0.631379059
3243,4027363782,3244,920091809,0.611592359
3243,4027363782,3342,2366981079,0.726421266
3243,4027363782,3343,7141201012,0.544352153
3244,920091809,3245,423795423,0.421204261
3244,920091809,3343,7141201012,0.773696704
3244,920091809,3345,961868088,0.853754006
3245,423795423,3246,920092201,0.435207549
3245,423795423,3345,961868088,0.511485444
3245,423795423,3346,1339496383,0.675307081
3246,920092201,3247,920190286,0.669263985
3246,920092201,3345,961868088,0.640470544
3246,920092201,3346,1339496383,0.530475474
3246,920092201,3347,286413965,0.719111497
3247,920190286,3248,423796321,0.336914697
3247,920190286,3346,1339496383,0.515026287
3247,920190286,3347,286413965,0.273587468
3247,920190286,3348,920199802,0.455150909
3248,423796321,3249,303194401,0.464985853
3248,423796321,3347,286413965,0.514528395
3248,423796321,3348,920199802,0.232978423
3248,423796321,3349,260981090,0.487556866
3249,303194401,3250,303194606,0.516347598
3249,303194401,3348,920199802,0.500468588
3249,303194401,3349,260981090,0.399626889
3250,303194606,3251,1357610742,0.5460865
3250,303194606,3349,260981090,0.763488157
3250,303194606,3351,1357611226,0.80985436
3251,1357610742,3252,2203977700,0.642239346
3251,1357610742,3351,1357611226,0.887842106
3251,1357610742,3352,248686261,0.678624755
3252,2203977700,3253,1357610936,0.380421553
3252,2203977700,3351,1357611226,1.087055551
3252,2203977700,3352,248686261,0.355593961
3252,2203977700,3353,303196751,0.878067897
3253,1357610936,3254,1357610922,0.411084944
3253,1357610936,3352,248686261,0.547880469
3253,1357610936,3353,303196751,0.670855525
3254,1357610922,3255,1357610739,0.64890004
3254,1357610922,3353,303196751,0.765908805
3254,1357610922,3355,2014595859,0.645352507
3255,1357610739,3355,2014595859,0.790921348
3260,310543538,3261,310550092,0.483150681
3260,310543538,3359,264485586,0.898417506
3260,310543538,3360,2432301714,0.558001835
3261,310550092,3360,2432301714,0.990685319
3331,305094240,3332,2064976037,0.336024882
3331,305094240,3430,288667600,0.830827194
3331,305094240,3431,256926060,0.369934185
3331,305094240,3432,192180672,0.631325474
3332,2064976037,3333,11509016079,0.403294796
3332,2064976037,3431,256926060,0.421767173
3332,2064976037,3432,192180672,0.472972759
3332,2064976037,3433,356969291,0.71930943
3333,11509016079,3334,305100006,0.496648709
3333,11509016079,3432,192180672,0.654340452
3333,11509016079,3433,356969291,0.545288914
3333,11509016079,3434,305092914,0.62203332
3334,305100006,3335,2093870814,0.555857434
3334,305100006,3433,356969291,0.599633093
3334,305100006,3434,305092914,0.40057997
3334,305100006,3435,305098327,0.566990787
3335,2093870814,3336,2216431513,0.453764715
3335,2093870814,3434,305092914,0.749484452
3335,2093870814,3435,305098327,0.417370226
3335,2093870814,3436,314418194,0.588274304
3336,2216431513,3337,2209136340,0.397076763
3336,2216431513,3435,305098327,0.713468454
3336,2216431513,3436,314418194,0.442353005
3336,2216431513,3437,305100965,0.630897401
3337,2209136340,3338,314388061,0.471323872
3337,2209136340,3436,314418194,0.6554631
3337,2209136340,3437,305100965,0.513121104
3337,2209136340,3438,400702217,0.789489214
3338,314388061,3437,305100965,0.57846921
3338,314388061,3438,400702217,0.404884071
3338,314388061,3439,309031122,0.867170673
3340,157436051,3341,309030726,0.45206226
3340,157436051,3439,309031122,0.708333929
3340,157436051,3440,309030999,0.485305554
3340,157436051,3441,1127796958,0.625235259
3341,309030726,3342,2366981079,0.466751791
3341,309030726,3440,309030999,0.659049194
3341,309030726,3441,1127796958,0.228093835
3341,309030726,3442,2043190351,0.665964837
3342,2366981079,3343,7141201012,0.552511566
3342,2366981079,3441,1127796958,0.550608216
3342,2366981079,3442,2043190351,0.461285277
3342,2366981079,3443,298920851,0.714832132
3343,7141201012,3442,2043190351,0.563597577
3343,7141201012,3443,298920851,0.433058943
3345,961868088,3346,1339496383,0.371926913
3345,961868088,3446,6885187633,0.37253922
3346,1339496383,3347,286413965,0.343098504
3346,1339496383,3446,6885187633,0.432170698
3346,1339496383,3447,920175592,0.601862151
3347,286413965,3348,920199802,0.509234836
3347,286413965,3446,6885187633,0.628954094
3347,286413965,3447,920175592,0.531331667
3347,286413965,3448,303193823,0.895017997
3348,920199802,3349,260981090,0.325963642
3348,920199802,3447,920175592,0.798925843
3348,920199802,3448,303193823,0.65715054
3348,920199802,3449,920203700,0.690637678
3349,260981090,3448,303193823,0.579878329
3349,260981090,3449,920203700,0.407002811
3349,260981090,3450,920204194,0.852706283
3351,1357611226,3352,248686261,0.780763626
3351,1357611226,3450,920204194,0.430655071
3351,1357611226,3451,5474782847,0.316123966
3351,1357611226,3452,9458261866,0.879640411
3352,248686261,3353,303196751,0.706353037
3352,248686261,3451,5474782847,0.855252251
3352,248686261,3452,9458261866,0.7122671
3352,248686261,3453,2014595867,0.944248775
3353,303196751,3452,9458261866,0.458869516
3353,303196751,3453,2014595867,0.341790672
3355,2014595859,3456,2011670400,0.685260302
3359,264485586,3360,2432301714,0.479933167
3359,264485586,3458,247224235,0.901367735
3359,264485586,3459,902508816,0.687849819
3360,2432301714,3459,902508816,0.757321662
3366,315017562,3367,315017658,0.414813816
3366,315017562,3465,299115523,0.694428571
3366,315017562,3466,837592265,0.484428104
3366,315017562,3467,315017741,0.543890961
3367,315017658,3466,837592265,0.51208898
3367,315017658,3467,315017741,0.229539529
3367,315017658,3468,4599704540,0.54716604
3430,288667600,3431,256926060,0.696074463
3431,256926060,3432,192180672,0.339497153
3431,256926060,3532,356955426,0.560832491
3432,192180672,3433,356969291,0.531020546
3432,192180672,3532,356955426,0.251684085
3432,192180672,3533,1175956348,0.579062081
3433,356969291,3434,305092914,0.311692398
3433,356969291,3532,356955426,0.486738522
3433,356969291,3533,1175956348,0.431509087
3433,356969291,3534,4016691645,0.592623427
3434,305092914,3435,305098327,0.4934213
3434,305092914,3533,1175956348,0.656414539
3434,305092914,3534,4016691645,0.553693741
3434,305092914,3535,4198816761,0.819429319
3435,305098327,3436,314418194,0.536617161
3435,305098327,3534,4016691645,0.720114691
3435,305098327,3535,4198816761,0.542682923
3435,305098327,3536,157482979,0.824074204
3436,314418194,3437,305100965,0.471189577
3436,314418194,3535,4198816761,0.619949854
3436,314418194,3536,157482979,0.508969525
3436,314418194,3537,305097059,0.775582519
3437,305100965,3438,400702217,0.588195054
3437,305100965,3536,157482979,0.601775699
3437,305100965,3537,305097059,0.580792478
3437,305100965,3538,11262198820,0.850601428
3438,400702217,3439,309031122,0.532910258
3438,400702217,3537,305097059,0.832794831
3438,400702217,3538,11262198820,0.610190142
3438,400702217,3539,8293821680,0.647756154
3439,309031122,3440,309030999,0.224176139
3439,309031122,3538,11262198820,0.629070642
3439,309031122,3539,8293821680,0.450106661
3439,309031122,3540,1340314518,0.462873589
3440,309030999,3441,1127796958,0.671789446
3440,309030999,3539,8293821680,0.673764294
3440,309030999,3540,1340314518,0.557538697
3440,309030999,3541,1832053169,0.856935164
3441,1127796958,3442,2043190351,0.567495889
3441,1127796958,3540,1340314518,0.711105367
3441,1127796958,3541,1832053169,0.502224816
3441,1127796958,3542,9714482545,0.749829932
3442,2043190351,3443,298920851,0.387692085
3442,2043190351,3541,1832053169,0.723162287
3442,2043190351,3542,9714482545,0.514237252
3442,2043190351,3543,309028508,0.595992238
3443,298920851,3542,9714482545,0.666393161
3443,298920851,3543,309028508,0.500116125
3443,298920851,3544,298924989,0.576399319
3446,6885187633,3447,920175592,0.436793168
3446,6885187633,3546,1555735482,0.642417293
3446,6885187633,3547,303197626,0.784517339
3447,920175592,3448,303193823,0.722994336
3447,920175592,3546,1555735482,0.517780628
3447,920175592,3547,303197626,0.491158903
3447,920175592,3548,9937082444,0.804200119
3448,303193823,3449,920203700,0.461307983
3448,303193823,3547,303197626,0.758516681
3448,303193823,3548,9937082444,0.380047118
3448,303193823,3549,920202131,0.409299945
3449,920203700,3450,920204194,0.470648281
3449,920203700,3548,9937082444,0.755847159
3449,920203700,3549,920202131,0.581336777
3449,920203700,3550,248686236,0.744539413
3450,920204194,3451,5474782847,0.457697762
3450,920204194,3549,920202131,0.678150188
3450,920204194,3550,248686236,0.307713721
3450,920204194,3551,1769740726,0.711582237
3451,5474782847,3452,9458261866,0.679353866
3451,5474782847,3550,248686236,0.435981369
3451,5474782847,3551,1769740726,0.452439952
3451,5474782847,3552,256145488,0.619098529
3452,9458261866,3453,2014595867,0.372376408
3452,9458261866,3551,1769740726,0.696627501
3452,9458261866,3552,256145488,0.397616371
3452,9458261866,3553,303196765,0.437272521
3453,2014595867,3552,256145488,0.600961621
3453,2014595867,3553,303196765,0.216594745
3453,2014595867,3554,1769709829,0.493649064
3456,2011670400,3555,256145496,0.520926226
3458,247224235,3459,902508816,0.492961076
3458,247224235,3558,247227921,0.348923099
3458,247224235,3559,243882090,0.441873275
3459,902508816,3558,247227921,0.598427979
3459,902508816,3559,243882090,0.255016207
3464,2094671684,3465,299115523,0.466176942
3464,2094671684,3563,3108827266,0.522054098
3464,2094671684,3564,315016505,0.40169966
3464,2094671684,3565,316715132,0.567307827
3465,299115523,3466,837592265,0.442544514
3465,299115523,3564,315016505,0.72455988
3465,299115523,3565,316715132,0.475311115
3465,299115523,3566,299115528,0.650824835
3466,837592265,3467,315017741,0.404493378
3466,837592265,3565,316715132,0.701207992
3466,837592265,3566,299115528,0.498799899
3466,837592265,3567,315018936,0.599854417
3467,315017741,3468,4599704540,0.485355241
3467,315017741,3566,299115528,0.699410067
3467,315017741,3567,315018936,0.51871418
3467,315017741,3568,4599704616,0.773328963
3468,4599704540,3567,315018936,0.664561423
3468,4599704540,3568,4599704616,0.497885789
3532,356955426,3533,1175956348,0.354646629
3533,1175956348,3534,4016691645,0.500130877
3533,1175956348,3634,277730486,0.654023539
3534,4016691645,3535,4198816761,0.597420913
3534,4016691645,3634,277730486,0.382219362
3534,4016691645,3635,324201291,0.605421038
3535,4198816761,3536,157482979,0.47537346
3535,4198816761,3634,277730486,0.751187838
3535,4198816761,3635,324201291,0.462532284
3535,4198816761,3636,1340972009,0.623355441
3536,157482979,3537,305097059,0.399123497
3536,157482979,3635,324201291,0.747188865
3536,157482979,3636,1340972009,0.520219014
3536,157482979,3637,305096533,0.718991944
3537,305097059,3538,11262198820,0.602067081
3537,305097059,3636,1340972009,0.643574666
3537,305097059,3637,305096533,0.458590053
3537,305097059,3638,398677807,0.488863223
3538,11262198820,3539,8293821680,0.252432976
3538,11262198820,3637,305096533,0.698684233
3538,11262198820,3638,398677807,0.453335733
3538,11262198820,3639,398822188,0.537398927
3539,8293821680,3540,1340314518,0.538838677
3539,8293821680,3638,398677807,0.652949722
3539,8293821680,3639,398822188,0.42697268
3539,8293821680,3640,1340314397,0.643782789
3540,1340314518,3541,1832053169,0.504311896
3540,1340314518,3639,398822188,0.619789239
3540,1340314518,3640,1340314397,0.390538527
3540,1340314518,3641,298919476,0.760618963
3541,1832053169,3542,9714482545,0.501103762
3541,1832053169,3640,1340314397,0.640802862
3541,1832053169,3641,298919476,0.582073753
3541,1832053169,3642,422302128,0.673059506
3542,9714482545,3543,309028508,0.367566642
3542,9714482545,3641,298919476,0.732861615
3542,9714482545,3642,422302128,0.462867476
3542,9714482545,3643,298925158,0.601876758
3543,309028508,3544,298924989,0.472594483
3543,309028508,3642,422302128,0.627204051
3543,309028508,3643,298925158,0.432096647
3543,309028508,3644,449968272,0.71158232
3544,298924989,3643,298925158,0.645101372
3544,298924989,3644,449968272,0.602853482
3544,298924989,3645,1555680590,0.656204835
3546,1555735482,3547,303197626,0.272293418
3546,1555735482,3645,1555680590,0.993880664
3546,1555735482,3647,303199011,0.474253154
3547,303197626,3548,9937082444,0.58598243
3547,303197626,3647,303199011,0.362037651
3547,303197626,3648,9937077601,0.700291098
3548,9937082444,3549,920202131,0.297375459
3548,9937082444,3647,303199011,0.67933778
3548,9937082444,3648,9937077601,0.5074439
3548,9937082444,3649,423799551,0.697738696
3549,920202131,3550,248686236,0.734120831
3549,920202131,3648,9937077601,0.655741784
3549,920202131,3649,423799551,0.617120013
3549,920202131,3650,302977048,0.62478721
3550,248686236,3551,1769740726,0.462220953
3550,248686236,3649,423799551,0.914187158
3550,248686236,3650,302977048,0.675786978
3550,248686236,3651,9458262188,0.880458187
3551,1769740726,3552,256145488,0.379695339
3551,1769740726,3650,302977048,0.918414336
3551,1769740726,3651,9458262188,0.773123915
3552,256145488,3553,303196765,0.496976586
3552,256145488,3651,9458262188,1.018563593
3553,303196765,3554,1769709829,0.358686172
3554,1769709829,3555,256145496,0.551068877
3558,247227921,3559,243882090,0.390997048
3558,247227921,3657,11203212714,0.754445761
3559,243882090,3660,4688859224,0.901358664
3561,2268419559,3660,4688859224,0.251542518
3561,2268419559,3661,315016399,0.310884905
3561,2268419559,3662,9706581990,0.675451808
3563,3108827266,3564,315016505,0.347040437
3563,3108827266,3662,9706581990,0.704643622
3563,3108827266,3663,315016950,0.533832245
3563,3108827266,3664,6383899830,0.659011332
3564,315016505,3565,316715132,0.50056302
3564,315016505,3663,315016950,0.578303885
3564,315016505,3664,6383899830,0.455291057
3564,315016505,3665,6364491872,0.660925044
3565,316715132,3566,299115528,0.498614668
3565,316715132,3664,6383899830,0.6474826
3565,316715132,3665,6364491872,0.424861612
3565,316715132,3666,316700618,0.740041569
3566,299115528,3567,315018936,0.409865231
3566,299115528,3665,6364491872,0.652515822
3566,299115528,3666,316700618,0.491225552
3566,299115528,3667,313625748,0.652597643
3567,315018936,3568,4599704616,0.539385747
3567,315018936,3666,316700618,0.650102099
3567,315018936,3667,313625748,0.525275008
3567,315018936,3668,4599704621,0.726682374
3568,4599704616,3667,313625748,0.694768535
3568,4599704616,3668,4599704621,0.459251879
3634,277730486,3635,324201291,0.48042649
3634,277730486,3734,356948909,0.490822351
3634,277730486,3735,2226635160,0.698370778
3635,324201291,3636,1340972009,0.490210306
3635,324201291,3734,356948909,0.68046728
3635,324201291,3735,2226635160,0.440158861
3635,324201291,3736,356948357,0.758980624
3636,1340972009,3637,305096533,0.572796713
3636,1340972009,3735,2226635160,0.56219378
3636,1340972009,3736,356948357,0.478739497
3636,1340972009,3737,1340971825,0.676840866
3637,305096533,3638,398677807,0.274240432
3637,305096533,3736,356948357,0.675836189
3637,305096533,3737,1340971825,0.445938487
3637,305096533,3738,305095601,0.587398228
3638,398677807,3639,398822188,0.654390734
3638,398677807,3737,1340971825,0.635587841
3638,398677807,3738,305095601,0.592339118
3638,398677807,3739,305089175,0.788563514
3639,398822188,3640,1340314397,0.43134095
3639,398822188,3738,305095601,0.831070701
3639,398822188,3739,305089175,0.590710108
3639,398822188,3740,299118751,0.668741479
3640,1340314397,3641,298919476,0.529384212
3640,1340314397,3739,305089175,0.859877767
3640,1340314397,3740,299118751,0.609062316
3640,1340314397,3741,1200136612,0.745887651
3641,298919476,3642,422302128,0.451493758
3641,298919476,3740,299118751,0.685299998
3641,298919476,3741,1200136612,0.473228871
3641,298919476,3742,6365150849,0.575635296
3642,422302128,3643,298925158,0.483435979
3642,422302128,3741,1200136612,0.773923628
3642,422302128,3742,6365150849,0.480847626
3642,422302128,3743,9739474422,0.670175064
3643,298925158,3644,449968272,0.427027375
3643,298925158,3742,6365150849,0.72950633
3643,298925158,3743,9739474422,0.516750767
3643,298925158,3744,6377596943,0.70470581
3644,449968272,3645,1555680590,0.313515261
3644,449968272,3743,9739474422,0.5967454
3644,449968272,3744,6377596943,0.446611881
3644,449968272,3745,319944080,0.746526963
3645,1555680590,3744,6377596943,0.553622058
3645,1555680590,3745,319944080,0.61975153
3645,1555680590,3746,302980177,0.912587426
3647,303199011,3648,9937077601,0.499749425
3647,303199011,3746,302980177,0.718875307
3647,303199011,3747,302980073,0.637095065
3647,303199011,3748,302976785,0.76827
3648,9937077601,3649,423799551,0.485721178
3648,9937077601,3747,302980073,0.706156382
3648,9937077601,3748,302976785,0.582215904
3648,9937077601,3749,3659580244,0.734374604
3649,423799551,3650,302977048,0.276182273
3649,423799551,3748,302976785,0.794967548
3649,423799551,3749,3659580244,0.516678599
3650,302977048,3651,9458262188,0.622637876
3650,302977048,3749,3659580244,0.682001202
3650,302977048,3751,4846520496,0.716039238
3651,9458262188,3751,4846520496,0.126545851
3651,9458262188,3752,2194163967,0.610961686
3657,11203212714,3756,4848417647,0.782741754
3657,11203212714,3757,471048566,0.478712191
3660,4688859224,3661,315016399,0.23425585
3660,4688859224,3759,245936978,0.667120756
3660,4688859224,3760,315015328,0.712317287
3660,4688859224,3761,262479541,0.783559445
3661,315016399,3662,9706581990,0.665128627
3661,315016399,3760,315015328,0.669992562
3661,315016399,3761,262479541,0.595220129
3662,9706581990,3663,315016950,0.417076693
3662,9706581990,3761,262479541,0.904775641
3663,315016950,3664,6383899830,0.409565243
3663,315016950,3764,1367747369,0.845177545
3664,6383899830,3665,6364491872,0.468619346
3664,6383899830,3764,1367747369,0.620697734
3664,6383899830,3765,316699725,0.7186833
3665,6364491872,3666,316700618,0.55673176
3665,6364491872,3764,1367747369,0.684290911
3665,6364491872,3765,316699725,0.580340449
3665,6364491872,3766,313617722,0.696042327
3666,316700618,3667,313625748,0.405573109
3666,316700618,3765,316699725,0.764790458
3666,316700618,3766,313617722,0.488374012
3666,316700618,3767,313625463,0.633722969
3667,313625748,3668,4599704621,0.489482327
3667,313625748,3766,313617722,0.720883529
3667,313625748,3767,313625463,0.536379634
3667,313625748,3768,313622633,0.621356457
3668,4599704621,3767,313625463,0.772889759
3668,4599704621,3768,313622633,0.578623815
3730,1418993181,3731,949857636,0.413404903
3730,1418993181,3830,307506237,0.361942798
3730,1418993181,3831,307488461,0.836149158
3731,949857636,3830,307506237,0.480207375
3731,949857636,3831,307488461,0.701658201
3734,356948909,3735,2226635160,0.539999968
3734,356948909,3833,356949795,0.762243727
3735,2226635160,3736,356948357,0.480466556
3735,2226635160,3836,311075420,0.64680929
3736,356948357,3737,1340971825,0.42591801
3736,356948357,3836,311075420,0.414884487
3736,356948357,3837,305095509,0.694280593
3737,1340971825,3738,305095601,0.412720314
3737,1340971825,3836,311075420,0.640987823
3737,1340971825,3837,305095509,0.416328929
3737,1340971825,3838,305088128,0.666457123
3738,305095601,3739,305089175,0.4682534
3738,305095601,3837,305095509,0.421493674
3738,305095601,3838,305088128,0.474485567
3738,305095601,3839,305088323,0.676782156
3739,305089175,3740,299118751,0.543737121
3739,305089175,3838,305088128,0.674628745
3739,305089175,3839,305088323,0.471012227
3739,305089175,3840,286718192,0.803096378
3740,299118751,3741,1200136612,0.422748823
3740,299118751,3839,305088323,0.737193397
3740,299118751,3840,286718192,0.475893792
3740,299118751,3841,252528349,0.68631516
