u_index,u,v_index,v,length
25,667984670,125,264896614,0.03483909
34,269277049,35,269277319,0.051042069
35,269277319,135,269277052,0.037402779
77,256180132,177,1420459750,0.021570586
82,246118321,83,734344358,0.049005185
83,734344358,84,8831253536,0.04363835
96,828145421,97,246124838,0.054930226
124,497353752,125,264896614,0.04622929
124,497353752,224,264896612,0.03921239
125,264896614,126,264896618,0.045539956
125,264896614,225,264896616,0.05248837
148,267108238,248,1275858010,0.043045215
176,256178952,177,1420459750,0.031187306
176,256178952,276,256180133,0.023050274
177,1420459750,178,246073361,0.036417801
177,1420459750,277,3623024131,0.044259494
181,246117805,281,1223204887,0.053959639
224,264896612,225,264896616,0.017723499
248,1275858010,348,1794711520,0.051883631
276,256180133,277,3623024131,0.037342241
276,256180133,376,246117411,0.054611553
283,8831253543,284,246111803,0.002802741
284,246111803,384,8831253538,0.002725234
308,305312927,408,305312853,0.05537169
310,385149638,311,305312941,0.030793051
347,101173265,348,1794711520,0.042385607
375,733338789,376,246117411,0.044393358
375,733338789,475,246247333,0.037296285
396,246123746,397,246124795,0.057059599
408,305312853,409,305312984,0.047149259
474,245963581,475,246247333,0.053783983
475,246247333,575,93810163,0.029188197
575,93810163,576,246245674,0.066423138
576,246245674,577,256170972,0.027805182
576,246245674,676,256170971,0.068904559
588,261719505,688,93810167,0.032671296
596,246123280,696,1455386212,0.04000963
620,32630066,720,1380954832,0.035121919
664,101172811,665,1224084340,0.058514201
667,1672413680,668,245963751,0.072199269
674,246247189,774,256170960,0.046803931
676,256170971,776,9396600980,0.047220037
678,261645962,778,261645965,0.048248052
680,261645958,780,261645952,0.047435919
691,2268912765,692,1824855154,0.05130962
696,1455386212,697,1455386186,0.027352732
749,101011000,849,101007862,0.057887447
776,9396600980,876,256170959,0.01910065
778,261645965,878,261645959,0.046218709
801,247289228,802,1427920464,0.021216233
804,1491995170,904,305309566,0.059730522
812,305310168,813,247288410,0.05591201
812,305310168,912,305313562,0.066442014
816,247287663,916,878676187,0.034954404
845,101173598,846,101172843,0.038741547
852,246137471,952,101015321,0.042111206
883,261646252,983,256170968,0.047906395
886,256170966,986,566517003,0.026169368
904,305309566,905,32650370,0.027191946
904,305309566,1004,385125939,0.037451904
909,385132421,1009,305314107,0.037854924
911,3003631853,912,305313562,0.033744477
912,305313562,1012,305313566,0.025981019
979,256170962,980,2112943266,0.009729249
983,256170968,1083,256170967,0.069943665
985,246247188,986,566517003,0.06765453
995,246164532,996,330362153,0.033575007
1001,247334645,1002,254094129,0.052727051
1002,254094129,1003,385123727,0.028822312
1003,385123727,1004,385125939,0.048121187
1003,385123727,1103,305309685,0.035886417
1004,385125939,1104,305310014,0.030477829
1008,305310133,1009,305314107,0.056093468
1012,305313566,1013,305313431,0.043048741
1012,305313566,1112,667984655,0.042490465
1050,101007861,1150,101049059,0.054513566
1053,101049079,1153,1275767931,0.024259479
1082,256170961,1083,256170967,0.031802537
1082,256170961,1182,256170969,0.054603613
1103,305309685,1104,305310014,0.00818639
1110,3003631855,1111,305313781,0.045199084
1111,305313781,1112,667984655,0.059011245
1111,305313781,1211,32650951,0.043634782
1144,101007857,1244,965876532,0.041427163
1147,101007852,1247,101049057,0.051698683
1150,101049059,1250,101005848,0.039292903
1186,256171270,1187,261648716,0.056705109
1198,2175887040,1199,2175887035,0.034887986
1199,2175887035,1299,2175887047,0.055707715
1205,32649914,1305,305309535,0.053220812
1207,32649915,1208,2152922284,0.04187176
1218,1380955534,1318,552580894,0.03657806
1242,101047788,1243,247702827,0.028290229
1243,247702827,1244,965876532,0.046381928
1244,965876532,1344,7780959336,0.016205958
1285,2312124650,1385,261648717,0.038106299
1301,247334548,1401,2135935956,0.066663227
1303,309891786,1304,305309537,0.0148931
1303,309891786,1403,254094156,0.0253255
1304,305309537,1305,305309535,0.069235983
1305,305309535,1306,385130309,0.043206134
1309,32650161,1310,2899818331,0.041771934
1354,101010992,1454,265550122,0.048592163
1356,2069702611,1357,2069702613,0.017640698
1357,2069702613,1457,1771529508,0.041766243
1363,246478687,1463,252901199,0.042569605
1398,2175887054,1498,3337846844,0.028934368
1401,2135935956,1501,247334510,0.04795671
1445,246140935,1545,1365283547,0.040161381
1451,246138850,1452,265550120,0.054103021
1454,265550122,1554,257668661,0.034821329
1475,259869643,1476,256638788,0.039104522
1478,3139025588,1479,256638789,0.033006976
1479,256638789,1480,256638792,0.031141402
1498,3337846844,1598,1402819224,0.055711278
1504,254094151,1505,32649913,0.038540549
1545,1365283547,1546,7780959372,0.029397346
1545,1365283547,1645,255466368,0.032503003
1546,7780959372,1646,255329941,0.026214525
1554,257668661,1654,246478681,0.032584127
1617,32650381,1717,1603316088,0.010064615
1645,255466368,1646,255329941,0.03685376
1656,256170150,1657,257668665,0.043458112
1687,1140116642,1688,246162247,0.051929222
1690,265747976,1790,265747975,0.014939769
1762,255256713,1862,255259856,0.045263982
1785,1244913461,1786,246162242,0.049520383
1786,246162242,1886,1245400317,0.025636854
1789,220736368,1790,265747975,0.065205011
1790,265747975,1890,8372016197,0.071737627
1840,2959672888,1841,246139719,0.024906417
1841,246139719,1842,246139718,0.060676218
1842,246139718,1843,2112943269,0.023407909
1843,2112943269,1943,2112943277,0.046059765
1886,1245400317,1986,122571130,0.053989867
1890,8372016197,1990,26618764,0.034911634
1899,295735024,1999,346451540,0.060355052
1903,1107548554,1904,2248514361,0.051930012
1906,32650154,2006,83650212,0.048449888
1908,83649359,2008,83650350,0.034875512
1910,83648548,2010,83649294,0.065689804
1943,2112943277,2043,246144912,0.04852163
2005,83650446,2006,83650212,0.058605549
2008,83650350,2108,1107543217,0.049298963
2040,255250999,2041,2001545075,0.008741161
2087,1245400284,2088,26618757,0.035878294
2088,26618757,2089,26618754,0.05182865
2108,1107543217,2109,1393905990,0.007033748
2108,1107543217,2208,1107543256,0.040892335
2173,252712468,2174,252712935,0.048355811
2205,83650214,2305,4058522422,0.065199801
2280,255121653,2380,255121655,0.053718917
2305,4058522422,2306,317348279,0.046914446
2332,25418933,2333,356934373,0.053943914
2333,356934373,2334,356934585,0.033039102
2336,266318885,2436,2119692851,0.035327974
2346,255250283,2446,255250101,0.031601983
2376,261731992,2377,122571136,0.060981938
2407,83649810,2408,299811107,0.058624914
2407,83649810,2507,299808700,0.052684809
2419,83506907,2519,32630956,0.044945027
2435,256576580,2436,2119692851,0.023234807
2435,256576580,2535,256575742,0.047907198
2441,255250287,2442,255250786,0.047316405
2441,255250287,2541,255250098,0.026543031
2451,255250019,2452,246144918,0.029059189
2506,32649920,2507,299808700,0.067148313
2518,32630957,2519,32630956,0.014927567
2519,32630956,2520,32630955,0.039488574
2537,2959672897,2538,246142109,0.047739051
2541,255250098,2641,246141797,0.047326204
2592,270545256,2692,246160563,0.022364862
2692,246160563,2792,255276194,0.063689901
2734,256576319,2735,256576320,0.046401023
