osmid,grid_index,y,x
247335125,0,41.8851873,12.4726037
305313411,8,41.8850962,12.4764161
497353726,18,41.8850279,12.4811893
667984670,25,41.8849999,12.4846076
246640592,28,41.8848476,12.4858178
269277049,34,41.8851127,12.488823
269277319,35,41.8849727,12.4894102
256180132,77,41.8851922,12.5096284
246117642,80,41.8851116,12.511207
246118321,82,41.8851021,12.5121287
734344358,83,41.8849752,12.5126956
8831253536,84,41.8848662,12.513202
246073937,86,41.8851879,12.5141683
828145421,96,41.8851823,12.5187952
246124838,97,41.8851408,12.5194564
246123977,99,41.8851103,12.5200937
264896592,121,41.885266,12.4826646
497353752,124,41.8853883,12.4839664
264896614,125,41.8853053,12.4845136
264896618,126,41.8854046,12.4850473
269277052,135,41.8852988,12.4892994
267108238,148,41.8853172,12.4956102
256178952,176,41.8854518,12.5093719
1420459750,177,41.8853701,12.5097323
246073361,178,41.8854971,12.5101378
246117805,181,41.8852611,12.5114269
246073526,189,41.8853672,12.5152814
246123975,193,41.8852539,12.517363
2163099562,201,41.8856322,12.4728337
264896612,224,41.88565,12.4842839
264896616,225,41.8857723,12.4844212
1275858010,248,41.8856774,12.4954197
246130344,263,41.8856197,12.5029028
256180133,276,41.8856385,12.5092509
3623024131,277,41.8857653,12.5096686
1223204887,281,41.8857365,12.5115577
8831253543,283,41.8859179,12.5127707
246111803,284,41.8859232,12.5128038
305312743,300,41.8860163,12.4725688
305312927,308,41.886078,12.4761607
385149638,310,41.8862377,12.4772643
305312941,311,41.8861068,12.4775921
32630067,323,41.8862051,12.4835467
101173265,347,41.8861566,12.4951668
1794711520,348,41.8861039,12.4956739
733338789,375,41.8861528,12.5088707
246117411,376,41.8861161,12.5094047
8831253538,384,41.8859283,12.512836
3612943664,387,41.8861933,12.5144566
246123651,393,41.8861618,12.5174464
246123746,396,41.8860839,12.5188474
246124795,397,41.8860492,12.5195351
1382877281,399,41.8860114,12.5202372
305312853,408,41.8865243,12.4764574
305312984,409,41.8863613,12.4769832
247287661,415,41.8863447,12.4797551
246130345,465,41.8863888,12.5039763
245963581,474,41.8864666,12.508073
246247333,475,41.8864696,12.5087227
246117196,481,41.8864088,12.5113623
246073528,489,41.8863356,12.5153265
305312940,505,41.8866528,12.47487
305313272,510,41.886722,12.4771176
247288411,512,41.8867831,12.4783069
497369997,517,41.8867901,12.4806725
246130408,566,41.8868362,12.5045127
93810163,575,41.8867182,12.5086095
246245674,576,41.8866594,12.509408
256170972,577,41.8868805,12.5095649
246111804,583,41.8866973,12.5125455
261719505,588,41.8869524,12.5151816
246123280,596,41.886911,12.5189838
1528875623,600,41.8873383,12.4725666
32630066,620,41.8871939,12.4822503
102413401,652,41.8872326,12.4976993
101049065,662,41.8872325,12.5023137
101172811,664,41.8872756,12.5033048
1224084340,665,41.887193,12.5040029
1672413680,667,41.8871824,12.5046011
245963751,668,41.8873099,12.5054563
93810154,670,41.8870216,12.5063018
246247189,674,41.8870284,12.5084341
256170971,676,41.8872784,12.5093692
261645962,678,41.8870972,12.510375
261645958,680,41.8873078,12.5111823
93810167,688,41.8872264,12.5150391
2268912765,691,41.8872182,12.5164302
1824855154,692,41.8873192,12.517035
1455386212,696,41.8872679,12.5190452
1455386186,697,41.8871322,12.5193208
246123381,699,41.8871276,12.5204354
305310049,706,41.8874786,12.4752718
1380954832,720,41.8874177,12.4819509
101011000,749,41.88751,12.4961537
255462617,769,41.8874247,12.5058233
256170960,774,41.8874233,12.5082384
9396600980,776,41.8876786,12.5091784
261645965,778,41.8875073,12.5101846
261645952,780,41.8877104,12.5109928
261646251,782,41.8875248,12.511961
267187664,787,41.8876482,12.5144532
1824855155,793,41.8874447,12.5171445
330362219,795,41.8877064,12.5181594
247289228,801,41.8878184,12.4729929
1427920464,802,41.8878475,12.4732462
1491995170,804,41.887848,12.4744277
305310132,807,41.8880668,12.4758232
305310168,812,41.8878382,12.4781912
247288410,813,41.8878282,12.4788665
247287663,816,41.8879523,12.4804028
32650149,818,41.8880042,12.4811693
101173598,845,41.8878649,12.4943104
101172843,846,41.8877768,12.4947632
101007862,849,41.8880152,12.4963225
246137471,852,41.8877907,12.4976161
255462621,866,41.8880473,12.5041501
246133380,871,41.8877285,12.5069239
256170959,876,41.8878411,12.5091036
261645959,878,41.887895,12.5099833
261646250,881,41.8879236,12.5117577
261646252,883,41.8877292,12.5127039
256170966,886,41.8880436,12.5138946
93810168,894,41.8879387,12.5180619
305309566,904,41.8883745,12.4745708
32650370,905,41.8882907,12.4748794
385132421,909,41.8881386,12.4770278
3003631853,911,41.888376,12.4780225
305313562,912,41.8884092,12.4784277
878676187,916,41.8882659,12.480432
32650405,922,41.8881857,12.4832606
101007848,947,41.8882839,12.4949366
101015321,952,41.888156,12.4977503
255462620,968,41.8881778,12.5053948
246118759,973,41.8880976,12.5079049
256170962,979,41.8881163,12.5108041
2112943266,980,41.8881479,12.5109137
256170968,983,41.8881361,12.5125137
246247188,985,41.8883672,12.513333
566517003,986,41.8882074,12.5141216
246164532,995,41.8884354,12.518474
330362153,996,41.888221,12.5187596
247334645,1001,41.8886212,12.4730132
254094129,1002,41.8885446,12.4736418
385123727,1003,41.8885324,12.4739896
385125939,1004,41.8887092,12.4745202
305310133,1008,41.8886161,12.4761931
305314107,1009,41.8884459,12.476831
305313566,1012,41.888521,12.4781521
305313431,1013,41.888611,12.4786579
83511436,1017,41.8886438,12.4804499
101007867,1045,41.8884549,12.4940146
101007861,1050,41.8885198,12.4964896
101049079,1053,41.8887223,12.497963
255462618,1071,41.8884394,12.5065991
266492115,1075,41.8885573,12.5087731
256170961,1082,41.8885402,12.5123098
256170967,1083,41.8887646,12.512548
256170309,1088,41.8886036,12.5147773
305309685,1103,41.8888462,12.4740909
305310014,1104,41.8888172,12.4741818
305309322,1106,41.8890173,12.475313
3003631855,1110,41.888956,12.4774041
305313781,1111,41.8891131,12.4779077
667984655,1112,41.888808,12.478491
1380955386,1120,41.8889283,12.4820831
101007857,1144,41.8890725,12.4937147
101007852,1147,41.8888021,12.4951178
101049059,1150,41.8889954,12.4966494
1275767931,1153,41.8889282,12.4980599
